Place_id,Bank_Name,Address,State
ChIJuVc0RL54Y4gR23cCcv4a9tU,Fifth Third Bank & ATM,"3008 Belshire Village Dr, Spring Hill, TN 37174, United States",Alabama
ChIJ278rrynWMIgRMS5_r18Q7SQ,Fifth Third Bank & ATM,"121 S Main St, Akron, OH 44308, United States",Alaska
ChIJUR1pIvF6gIgRN_9wtsyXhGk,ATM (Fifth Third Bank),"101 Courthouse Square, Oxford, MS 38655, United States",Arkansas
ChIJoT9Gi8X6OIgRqqa99jG--bA,Fifth Third Bank & ATM,"229 S Sandusky St, Delaware, OH 43015, United States",Delaware
ChIJq-xFuE053YgRjHXQDIvacAs,Fifth Third Bank & ATM,"4421 Florida Ave S, Lakeland, FL 33813, United States",Florida
ChIJ52Pw0CeP54gRW_19PPPbPUA,Fifth Third Bank & ATM,"1350 Roper Blvd, Clermont, FL 34711, United States",Florida
ChIJhTbTHx3i2IgRNz4qZ6EvRDg,Fifth Third Bank & ATM,"120 E Palmetto Park Rd, Boca Raton, FL 33432, United States",Florida
ChIJlY2-PzN854gR_GyRw5dz740,Fifth Third Bank & ATM,"2324 Sand Lake Rd, Orlando, FL 32809, United States",Florida
ChIJCwK2wIp83YgRCo_rt7XVit8,Fifth Third Bank & ATM,"9020 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747, United States",Florida
ChIJCVDsFxWH3YgRgf4uWGX3tkA,Fifth Third Bank & ATM,"13043 S Orange Blossom Trl, Orlando, FL 32837, United States",Florida
ChIJh3pFUfA8w4gRTdLlDyrMuc8,Fifth Third Bank & ATM,"4630 FL-64, Bradenton, FL 34208, United States",Florida
ChIJwz3JnF9_54gRA-7xu9egOaY,Fifth Third Bank & ATM,"8075 Via Dellagio Way, Orlando, FL 32819, United States",Florida
ChIJOT9e9LJ_54gR20sWu6QRsKg,Fifth Third Bank & ATM,"9168 Conroy Windermere Rd, Windermere, FL 32819, United States",Florida
ChIJh_x8b00m2YgRwafm-GYN3qo,Fifth Third Bank & ATM,"6651 Lake Worth Rd, Lake Worth Beach, FL 33467, United States",Florida
ChIJgwev_mJj54gRn1br8aKZpjs,Fifth Third Bank & ATM,"5351 S Semoran Blvd, Orlando, FL 32822, United States",Florida
ChIJg8VdcyAXw4gRIFLuLS50ytk,Fifth Third Bank & ATM,"6601 Manatee Ave W, Bradenton, FL 34209, United States",Florida
ChIJb8dnzQx754gR3ktGkDGOd7Y,Fifth Third Bank & ATM,"2394 S Orange Ave, Orlando, FL 32806, United States",Florida
ChIJQxxI2fZ254gRQTd-z6PdB3Q,Fifth Third Bank & ATM,"1725 S Orange Blossom Trail, Apopka, FL 32703, United States",Florida
ChIJZyVyrYfYwogRIi1MuVMI22o,Fifth Third Bank & ATM,"1020 N U.S. Hwy 41, Ruskin, FL 33570, United States",Florida
