datetime,author_title,review_text,review_rating,state,place_id
03/26/2024 14:23:04,Mike Meeker,Do not put your money in this bank. They will come up with every excuse in the book not to give it to you when you want it. We have been trying to get cash from them for over a week and they keep giving us excuse after excuse as to why they cannot give it to us. I’m pretty sure what they’re doing is illegal.,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
12/06/2023 17:42:04,Jason Mccord,"I had funds removed from my account on 11/24/23 by WalMart.com.I've been given the run around by this institution on multiple  calls.I contacted the branch in Springhill Tn because the customer support call center isn't giving info or updates on Dispute/fraud of missing funds.I was penalized 8days for this.Noone at the local location or dispute/fraud will help in this matter.I'm very disappointed in the negative run around and lack of information on my case.They just take and release funds from account without a transaction code or ref#.I want to close this account but, now have to wait 90 days.Customer service is impossible to communicate with.Managers and supervisors are never available. Told today by fraud dept they were too busy to speak with me.5/3 lost me as a customer today.",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
01/30/2023 23:02:10,Rays Babe,"I have NEVER had more trouble getting a bank to take my mortgage payment every single month. You’d think they would make it easier to give them your money, but nope. I will never open an account here and I hope you sell my mortgage to a normal bank as soon as possible! Please!!!",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
07/30/2021 16:27:27,Emily Todd,"I’ve been using fifth third for about 3 years now and they are always so pleasant. Everytime I walk in i’m always warmly greeted, they make sure to go as fast as possible to ensure that you are not waiting around for the things you need to be done. I have personally talked to Josh, the manager there as well as one of their bankers, Madison. They both have been nothing but kind to me and have helped me out tremendously. When I was looking to buy a new car, they helped me figure out the best course of action and helped me figure out a budget plan. I would genuinely recommend Fifth Third to anyone who asked, you will not be disappointed by their willingness to help. Thank you to the Fifth Third team and more specifically Josh for being an awesome manager, leader and team player. Thank you to Madison as well for being incredibly nice and always making me feel welcomed!",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
07/30/2021 19:54:04,Chad Overstreet,"The Spring Hill team is FANTASTIC! I’ve dealt with them weekly for 4 years now and the service alone will keep me from switching banks. They treat you like family and always make sure everything is taken care of. Keep up the great work! And for the mortgage haters in the past reviews, I have refinanced twice with this branch.",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
07/09/2020 18:49:51,Jessica Fort,"My married name is actually Fort just in case someone from 5/3 actually reads this. Two months ago we received an offer on our house, the buyer chose to use 5/3 mortgage to purchase our home...this has by far been the most frustrating situation we have ever had to deal with. We have been given a closing date going on 3 times and have been ensured for 3 weeks that the paperwork has been received...it’s all a lie...we keep getting the “hopefully tomorrow bs” this isn’t even our hold up it is the buyer who I am sure is equally frustrated. We will never bank with or sell a house to someone who uses 5/3 mortgage ever again. I do not recommend their services to anyone.",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
03/07/2022 21:17:22,Shan G,"We’ve been members of this bank for 4 years and while we don’t go into the branch often, we’ve always encountered wonderful customer service. We know that Fifth Third Bank values us and is always doing what they can to keep our money safe.",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
07/30/2021 18:02:29,Laura Shindon,I would not recommend Fifth Third Bank Spring Hill. Our experience was not good when we moved to the Spring Hill area. I wasn't sure if this was just a Tennessee thing but after speaking with other banks in the area we found much better options. We went to a local bank and didn't feel like we were being manipulated and lied too. I think there are far better and more trustworthy banks out there.,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
07/30/2021 19:57:56,Liv D,Spring Hill Fifth Third is truly an awesome and trustworthy bank. They are quick and dependable yet friendly and I always leave smiling. The all staff are knowledgeable and always willing to answer any questions!,5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
11/14/2018 19:18:00,D Hillebrand,"This is long, but needs to be explained.  I have been with this bank for over 5 years.  I used my debit card on October 30, 2018 to pay off a large debt of a little over $5100.00.  I received a ""fraud alert"" text because of the large amount.  I responded to the text, making it clear that I had indeed made the transaction.  I received an acknowledgement back via text indicating that the transaction was approved and that I could continue using my card as normal.

I was out of town for over a week. Upon arriving back home yesterday, I attempted to use my debit card. to buy groceries. It was declined.  Highly embarrassed, I called the 1-800 number on the back of my card.  Long story short, after almost two hours, three further calls, three dropped calls during transfers on their end, long conversations with both 5/3 reps AND World Pay reps (5/3 Bank outsources their fraud services),  I was told that my debit card was had been canceled on October 31 due to fraud!!!  And, NO ONE had a clue as to WHY.  In the end, I was told that I must speak to someone at my local branch for assistance.

I contacted my local branch first thing this morning...then called the branch again two hours later when my phone messages and email  went without response.  I demanded to stay on the phone until Michael Logue could speak with me.  Michael looked into the matter, and informed me that the debit card had indeed been cancelled October 31st due to ""fraudulent activity.""  (Duh...I knew that much already!)  He said that there was no ""documented"" reason for the cancellation.  His only explanation was that Fifth Third debit cards have a $5000 limit...never mind how much you have in the bank.  Never mind that you have a PIN.  Never mind that you verify at the time of the transaction that you are the actual owner of the account, that it is YOUR money, and that you approve the debit.  He could not explain to me why I was never notified in any manner (not a further text, not an email, not a phone call, not even freaking snail mail).  He could not explain to me why a replacement card was never ordered.

So, for two weeks I didn't know my debit card was cancelled.  For two weeks, several automatic payments I had set up to pay via debit card were being rejected (payments to auto-fill prescriptions,  payments to my physician, subscription services, that do not accept other payment methods, etc.).

Now, after two days of pursuing answers and many stressful hours of frustration, dropped calls, rude people, incompetency,  and bungling by the bank, all I know as fact is:
1. Fifth/Third cancelled my debit card,
2. No one at the 1-800 national level OR at my local Spring Hill, TN branch can definitively tell me who canceled it or why,
3.  No one at the 1-800 national level OR at my local Spring Hill, TN branch has a CLUE as to why I wasn't notified in some manner,
4. Apparently no one on Earth has a clue why I wasn't at least sent a new card to replace the one they canceled and
5. It will take, according to Michael Logue, 5-7 business days to get a freaking replacement card!!!  Well isn't THAT special?  They can deny me access to my own money with the snap of a finger and not be able to explain why everything ""fell through the cracks"" (as Michael so eloquently put it) yet they can't expedite me a new card???

Meanwhile, their cluster-&#$@ has cost me over $700 that I know of thus far, including the additional interest charged on the initial transaction that I had APPROVED and that I thought was paid.  I'll be spending the rest of the day calling my creditors trying to humbly explain that the bank thoroughly screwed me.  I'll have to pay them all with a CREDIT CARD, since I don't have any access to my own money except by check...and NO ONE takes checks!!!

Not that it matters, but I am widowed, on disability, 63 years old, and have to manage my money VERY tightly.  This ordeal will likely deplete my emergency fund. This isn't the first raw deal I have gotten from 5/3 Bank, but it will definitely be my LAST.",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
05/03/2021 14:54:08,Rob Hutchison,Fifth third bank Spring Hill Tn has the most incompetent mortgage dept. If your thinking about obtaining a loan from this particular bank I would advise you to go elsewhere. The mortgage lender spends more time telling you about his political views than he does doing his job. The sad part is that his boss is aware that he acts in an inappropriate manner and does nothing about it.,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
12/13/2017 15:34:08,Charles Summers,Michel Logue is why this isn't a 5* review. He treated me very poorly. Even attempted get smart with me. His customer relations is very rude. I've been here for almost 2 years and his treatment of me is why it may not make 3. Tina is one of the saving Graces of this Bank. She recognizes me on site and always has a friendly word.,3,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
01/22/2018 22:40:14,johnny murphy,"Do not deal with Spencer if you need anything done . I have been with this bank for many years with no problems , but a couple of months ago my insurance agent has left him like 4 messages & he will not return her phone calls in order to help me with this issue . Really not good for business & making me do some thinking about taking my business somewhere else , sad but true .",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
04/19/2019 17:10:29,JILL UPSHAW,"Beyond bad. I was happy at first. However, they have allowed my account to be hacked 3 times now. I have had 3 debit cards, my account blocked while waiting for the new card to arrive and no online access during that period. Nobody has my card but me. Last Easter weekend, they let someone  in California charge nearly $500.00. It is Easter weekend again and now someone bought groceries for $198.00 in Pa. .",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
02/17/2021 18:51:58,Patrick Johnston,"Tried to get a half dollar coin to help the tooth fairy out for my 5 year old. They wouldn't exchange any money because I'm not a customer. Tried to do a cash advance on my USSA card which they would collect fees on, still wouldn't help unless I opened an account. My 5 year old wants to know why the tooth fairy hates him.",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
03/03/2020 06:59:32,Mike The Mic Guy,"Good service, no fees, great fraud protection. A lot better than my last bank (US Bank). Haven’t had any issues with this bank at all. Very quick with transactions and adding funds that usually take time to process at other banks. A lot better than most banks.",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
06/30/2016 15:38:19,Jason Reyes,"This is one of the most least accommodating banks I've ever been to. The staff is rude and they make you do their job for them. If customers had to do my job for me, I would be fired almost immediately. I'm pulling my money out of this place ASAP!!!",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
09/11/2021 00:00:57,jill Baxter,"I have been banking here for about 5 years now and everyone inside have always been extremely kind, friendly and helpful. They are a great group of people who really care about their customers.",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
03/14/2024 22:07:42,Jose,Bad customer service from drive thru,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
06/01/2021 14:49:37,Patricia Perricone,Very pleased with Tina and Michael in the Spring Hill Bank...extremely patient and considerate and knowledgeable..after many exchanges verbally with out of country customer (service?) reps they took care of me ..,5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
01/04/2023 16:23:05,Katie Brandel,BIGGEST SCAM EVER! THEY DO NOTHING BUT STEAL YOUR MONEY! DO NOT BANK WITH THEM!!!!!!!!!!! Your money will be stolen in fees and fake charges oh and their fraud department is just that Fraud!,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
07/31/2021 17:08:30,Kaygara Igarashi,"I've been with 5/3 for only about 2 years, and the people here are so nice, and they take care of you here. Amazing people!",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
03/20/2017 15:10:10,daniel booth,Anytime I call or show up they are always friendly!! They go out of their way to help out. Very kind people that will make sure you leave happy!,5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
02/26/2021 09:46:43,Mary Coon,Most unprofessional bank tellers I have ever encountered. Would never do business with this bank.,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
08/11/2020 16:25:09,Nate Piccone,"Great branch, with great staff. No issues ever- been at this branch for over 10 years.",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
07/30/2021 15:51:08,Gina Todd,Friendly and knowledgeable staff! I would recommend this branch to new folks in the area.,5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
05/11/2015 17:31:58,Paul bonner,"Been with them for years without any problems. Great, friendly staff.",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
11/02/2012 18:55:54,Brian Stephens,"Very friendly staff! They are always friendly, courteous, and helpful with any needs or concerns.",5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
05/25/2018 19:28:59,Katie Vee,"Took me a half hour to deposit through drive through, then teller was full of attitude",1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
10/25/2021 19:22:44,Nancy Ervin,Managers act like you are a nuisance when you need their help.,2,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
10/01/2017 12:58:33,Bryan Childs,"Great bank, but they lose a star for the overcharging of stamps in the ATM.",4,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
05/31/2018 23:19:11,Kristina Lowell,Customer Service is really poor!,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
03/30/2020 14:34:13,Rick Reynolds,Super nice always helpful,5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
12/21/2023 01:00:55,Jill Turner,,5,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
10/18/2023 00:13:55,Google User,,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
10/15/2022 17:24:10,Jerry Humphrey,,1,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
08/15/2019 16:44:21,charles gibson,,4,Alabama,ChIJuVc0RL54Y4gR23cCcv4a9tU
12/15/2023 15:16:35,Rachel J,"Tacked over $150 in charges onto my checking account for simply making payments on my car loan at Summit Federal and then refused to do anything about it. Carlos was particularly unhelpful - as he initially made the claim that SFCU was the institution to blame. He then went on to claim that the fees were being processed as ""card replacement fees"" which was also false, as I have used the same debit card for years. I have been a fifth third client for as long as I've had a bank account in my name, and I will be transitioning to Chase in the near future. ""No hidden fees"" is absolutely not true.",1,Alaska,ChIJ278rrynWMIgRMS5_r18Q7SQ
